randomusername123458,1.493935959E9,dh4de6f,5bbw5o
coinpile,1.493931937E9,dh4ae8b,5bbw5o
rodinj,1.493911355E9,dh42610,5bbw5o
coinpile,1.493907007E9,dh40ixa,5bbw5o
randomusername123458,1.49390114E9,dh3xtxd,5bbw5o
coinpile,1.493899773E9,dh3wzww,5bbw5o
randomusername123458,1.49388261E9,dh3jmbp,5bbw5o
TOP_20,1.493874337E9,dh3ctp0,5bbw5o
randomusername123458,1.493870073E9,dh38szc,5bbw5o
TOP_20,1.493865268E9,dh348qh,5bbw5o
coinpile,1.493861622E9,dh30spl,5bbw5o
rodinj,1.493861447E9,dh30mki,5bbw5o
TOP_20,1.493861273E9,dh30gjd,5bbw5o
rodinj,1.493859933E9,dh2z6gm,5bbw5o
TOP_20,1.493859301E9,dh2ylap,5bbw5o
rodinj,1.493852216E9,dh2s2gq,5bbw5o
TOP_20,1.493852185E9,dh2s1fs,5bbw5o
randomusername123458,1.493847797E9,dh2offz,5bbw5o
coinpile,1.493846697E9,dh2nmev,5bbw5o
piyushsharma301,1.493826743E9,dh2f44e,5bbw5o
rodinj,1.49382666E9,dh2f34m,5bbw5o
piyushsharma301,1.493825604E9,dh2epv1,5bbw5o
rodinj,1.493825568E9,dh2epeu,5bbw5o
piyushsharma301,1.493825533E9,dh2eoze,5bbw5o
rodinj,1.493825505E9,dh2eom4,5bbw5o
piyushsharma301,1.493825083E9,dh2ej3w,5bbw5o
rodinj,1.493824986E9,dh2ehvg,5bbw5o
piyushsharma301,1.493823075E9,dh2drva,5bbw5o
coinpile,1.493810898E9,dh274pu,5bbw5o
randomusername123458,1.493797813E9,dh1wmit,5bbw5o
coinpile,1.493796711E9,dh1vs5l,5bbw5o
randomusername123458,1.493785222E9,dh1mr23,5bbw5o
piyushsharma301,1.493783434E9,dh1l4xg,5bbw5o
randomusername123458,1.493780514E9,dh1ihi6,5bbw5o
coinpile,1.493777967E9,dh1g5f2,5bbw5o
randomusername123458,1.493774118E9,dh1ckan,5bbw5o
TOP_20,1.493762341E9,dh12cvw,5bbw5o
coinpile,1.493759588E9,dh10du3,5bbw5o
rodinj,1.49373801E9,dh0rtv6,5bbw5o
dominodan123,1.493730136E9,dh0oedk,5bbw5o
randomusername123458,1.493728874E9,dh0npn9,5bbw5o
coinpile,1.493728787E9,dh0nnyw,5bbw5o
randomusername123458,1.493726101E9,dh0m1vw,5bbw5o
TOP_20,1.493720662E9,dh0hyna,5bbw5o
coinpile,1.493714961E9,dh0d6xo,5bbw5o
randomusername123458,1.493709014E9,dh08dmo,5bbw5o
coinpile,1.493708938E9,dh08bfs,5bbw5o
randomusername123458,1.493697155E9,dgzyj1t,5bbw5o
coinpile,1.493687951E9,dgzqfa0,5bbw5o
randomusername123458,1.49367555E9,dgzggxs,5bbw5o
coinpile,1.493673716E9,dgzfa3s,5bbw5o
TOP_20,1.4936657E9,dgzbdjy,5bbw5o
rodinj,1.493652959E9,dgz7ftp,5bbw5o
coinpile,1.493633452E9,dgyxlop,5bbw5o
randomusername123458,1.493614755E9,dgyjtq7,5bbw5o
coinpile,1.493596761E9,dgy63tj,5bbw5o
TOP_20,1.493569203E9,dgxtxtu,5bbw5o
coinpile,1.49356465E9,dgxse9r,5bbw5o
TOP_20,1.493562776E9,dgxrp7i,5bbw5o
coinpile,1.493562041E9,dgxreqg,5bbw5o
randomusername123458,1.493555836E9,dgxolt8,5bbw5o
coinpile,1.493535925E9,dgxc9x8,5bbw5o
TOP_20,1.493531111E9,dgx907u,5bbw5o
coinpile,1.493529237E9,dgx7pt0,5bbw5o
TOP_20,1.493526919E9,dgx63an,5bbw5o
coinpile,1.493522779E9,dgx34p5,5bbw5o
piyushsharma301,1.49352092E9,dgx1sdt,5bbw5o
coinpile,1.493520885E9,dgx1rj0,5bbw5o
piyushsharma301,1.493519467E9,dgx0q6v,5bbw5o
coinpile,1.493519368E9,dgx0nge,5bbw5o
piyushsharma301,1.493513371E9,dgww5a4,5bbw5o
coinpile,1.493513081E9,dgwvxed,5bbw5o
TOP_20,1.493511534E9,dgwus2d,5bbw5o
coinpile,1.49347242E9,dgwdu6u,5bbw5o
randomusername123458,1.493469424E9,dgwcbr0,5bbw5o
coinpile,1.493469137E9,dgwc67f,5bbw5o
randomusername123458,1.493449229E9,dgvyd9z,5bbw5o
TOP_20,1.493445962E9,dgvw2tf,5bbw5o
randomusername123458,1.49342913E9,dgvhtmz,5bbw5o
coinpile,1.4934288E9,dgvhiwp,5bbw5o
randomusername123458,1.493417702E9,dgv7f67,5bbw5o
coinpile,1.493414709E9,dgv51vp,5bbw5o
rodinj,1.49339365E9,dguw0q7,5bbw5o
coinpile,1.493375263E9,dguotiv,5bbw5o
randomusername123458,1.493359231E9,dguaypg,5bbw5o
coinpile,1.493358986E9,dguarfg,5bbw5o
randomusername123458,1.493340249E9,dgtteqr,5bbw5o
piyushsharma301,1.493339857E9,dgtt1ea,5bbw5o
randomusername123458,1.493339637E9,dgtsu5o,5bbw5o
piyushsharma301,1.493339251E9,dgtsh6z,5bbw5o
randomusername123458,1.493339154E9,dgtsdwc,5bbw5o
piyushsharma301,1.493339028E9,dgts9l5,5bbw5o
randomusername123458,1.493338991E9,dgts8ba,5bbw5o
piyushsharma301,1.493338893E9,dgts4z2,5bbw5o
randomusername123458,1.493338246E9,dgtriog,5bbw5o
TOP_20,1.493335353E9,dgtotl8,5bbw5o
randomusername123458,1.493332484E9,dgtm92w,5bbw5o
coinpile,1.493328215E9,dgtisjr,5bbw5o
piyushsharma301,1.493298556E9,dgt5wpn,5bbw5o
randomusername123458,1.493298409E9,dgt5tt9,5bbw5o
piyushsharma301,1.493297823E9,dgt5hnw,5bbw5o
randomusername123458,1.493280441E9,dgsseth,5bbw5o
piyushsharma301,1.493266556E9,dgsgrqk,5bbw5o
TOP_20,1.493266408E9,dgsgmpr,5bbw5o
piyushsharma301,1.493263205E9,dgse0rz,5bbw5o
TOP_20,1.493263171E9,dgsdzng,5bbw5o
piyushsharma301,1.493262648E9,dgsdhmv,5bbw5o
TOP_20,1.493262476E9,dgsdbo8,5bbw5o
piyushsharma301,1.493262175E9,dgsd1fr,5bbw5o
TOP_20,1.493261609E9,dgschyf,5bbw5o
piyushsharma301,1.493260794E9,dgsbpt7,5bbw5o
TOP_20,1.493260773E9,dgsbp33,5bbw5o
piyushsharma301,1.493259666E9,dgsanc6,5bbw5o
SolidGoldMagikarp,1.493259655E9,dgsamza,5bbw5o
piyushsharma301,1.493259643E9,dgsamk5,5bbw5o
SolidGoldMagikarp,1.493259637E9,dgsambr,5bbw5o
piyushsharma301,1.493259315E9,dgsab6x,5bbw5o
SolidGoldMagikarp,1.493259298E9,dgsaana,5bbw5o
piyushsharma301,1.493258728E9,dgs9r8n,5bbw5o
coinpile,1.493258658E9,dgs9osq,5bbw5o
piyushsharma301,1.493257892E9,dgs8y63,5bbw5o
TOP_20,1.493257874E9,dgs8xjv,5bbw5o
piyushsharma301,1.493257724E9,dgs8saw,5bbw5o
VitaminB16,1.493257664E9,dgs8q6k,5bbw5o
piyushsharma301,1.493257357E9,dgs8fgb,5bbw5o
TOP_20,1.493257324E9,dgs8ebt,5bbw5o
piyushsharma301,1.493253853E9,dgs53li,5bbw5o
VitaminB16,1.493253844E9,dgs538l,5bbw5o
piyushsharma301,1.493253608E9,dgs4v3j,5bbw5o
VitaminB16,1.493253601E9,dgs4uvh,5bbw5o
piyushsharma301,1.493253521E9,dgs4s16,5bbw5o
VitaminB16,1.493253509E9,dgs4rmj,5bbw5o
piyushsharma301,1.493253404E9,dgs4nz2,5bbw5o
VitaminB16,1.493253375E9,dgs4n0v,5bbw5o
piyushsharma301,1.493253327E9,dgs4lbg,5bbw5o
VitaminB16,1.493253298E9,dgs4kdf,5bbw5o
piyushsharma301,1.493253252E9,dgs4iq6,5bbw5o
VitaminB16,1.493253199E9,dgs4gwm,5bbw5o
piyushsharma301,1.493253099E9,dgs4df7,5bbw5o
VitaminB16,1.493253089E9,dgs4d31,5bbw5o
piyushsharma301,1.493252974E9,dgs490j,5bbw5o
VitaminB16,1.493252969E9,dgs48tw,5bbw5o
piyushsharma301,1.493252792E9,dgs42u7,5bbw5o
VitaminB16,1.493252783E9,dgs42jl,5bbw5o
piyushsharma301,1.493252686E9,dgs3z86,5bbw5o
VitaminB16,1.493252622E9,dgs3x0q,5bbw5o
piyushsharma301,1.493252495E9,dgs3sm3,5bbw5o
VitaminB16,1.49325249E9,dgs3sez,5bbw5o
piyushsharma301,1.493252398E9,dgs3pa1,5bbw5o
VitaminB16,1.493252389E9,dgs3ozh,5bbw5o
piyushsharma301,1.493252187E9,dgs3hza,5bbw5o
VitaminB16,1.493251882E9,dgs37ee,5bbw5o
piyushsharma301,1.493251792E9,dgs34bd,5bbw5o
VitaminB16,1.493251754E9,dgs32yt,5bbw5o
piyushsharma301,1.493251568E9,dgs2wlj,5bbw5o
VitaminB16,1.493251563E9,dgs2wfr,5bbw5o
piyushsharma301,1.493251415E9,dgs2rh8,5bbw5o
VitaminB16,1.493251403E9,dgs2r2e,5bbw5o
piyushsharma301,1.493251321E9,dgs2ob8,5bbw5o
VitaminB16,1.4932513E9,dgs2nl9,5bbw5o
piyushsharma301,1.493251238E9,dgs2liv,5bbw5o
VitaminB16,1.493251168E9,dgs2j8y,5bbw5o
piyushsharma301,1.493250843E9,dgs2839,5bbw5o
VitaminB16,1.493250676E9,dgs22bq,5bbw5o
piyushsharma301,1.493250435E9,dgs1u1d,5bbw5o
VitaminB16,1.493250404E9,dgs1t0n,5bbw5o
piyushsharma301,1.493250316E9,dgs1pvx,5bbw5o
VitaminB16,1.493250303E9,dgs1pfw,5bbw5o
piyushsharma301,1.493250115E9,dgs1ixt,5bbw5o
VitaminB16,1.493250072E9,dgs1hg3,5bbw5o
piyushsharma301,1.493250005E9,dgs1f5y,5bbw5o
VitaminB16,1.49324998E9,dgs1eav,5bbw5o
piyushsharma301,1.493249941E9,dgs1cxs,5bbw5o
VitaminB16,1.493249879E9,dgs1at6,5bbw5o
piyushsharma301,1.493249588E9,dgs10wv,5bbw5o
VitaminB16,1.493249509E9,dgs0yay,5bbw5o
piyushsharma301,1.493249495E9,dgs0xtd,5bbw5o
VitaminB16,1.493249411E9,dgs0v19,5bbw5o
piyushsharma301,1.493249351E9,dgs0sz3,5bbw5o
VitaminB16,1.49324931E9,dgs0rku,5bbw5o
piyushsharma301,1.493249286E9,dgs0qry,5bbw5o
VitaminB16,1.493249262E9,dgs0pxl,5bbw5o
piyushsharma301,1.493249117E9,dgs0l2n,5bbw5o
VitaminB16,1.493249107E9,dgs0kpw,5bbw5o
piyushsharma301,1.493248887E9,dgs0db0,5bbw5o
VitaminB16,1.493248293E9,dgrzte3,5bbw5o
piyushsharma301,1.493247915E9,dgrzh70,5bbw5o
VitaminB16,1.4932479E9,dgrzgpb,5bbw5o
piyushsharma301,1.493247823E9,dgrze7f,5bbw5o
VitaminB16,1.493247813E9,dgrzdw0,5bbw5o
piyushsharma301,1.49324773E9,dgrzb90,5bbw5o
VitaminB16,1.493247722E9,dgrzaym,5bbw5o
piyushsharma301,1.493247675E9,dgrz9i2,5bbw5o
VitaminB16,1.493247656E9,dgrz8v2,5bbw5o
piyushsharma301,1.49324759E9,dgrz6og,5bbw5o
VitaminB16,1.493247584E9,dgrz6hx,5bbw5o
piyushsharma301,1.49324753E9,dgrz4os,5bbw5o
VitaminB16,1.493247512E9,dgrz429,5bbw5o
